elevation,geology,landuse,rainfall,slope,soil_clay,.geo
1271,1,10,4.78480863571167,17.626052856445312,30,"{""type"":""Point"",""coordinates"":[85.15237580527157,27.783374612967886]}"
551,1,40,3.583014726638794,3.480921506881714,31,"{""type"":""Point"",""coordinates"":[85.146389972361,27.886970532156642]}"
1391,2,50,5.338897228240967,30.711206436157227,26,"{""type"":""Point"",""coordinates"":[85.19779771960184,27.71535606324698]}"
1413,2,10,4.124363422393799,10.096575736999512,22,"{""type"":""Point"",""coordinates"":[85.48277470842164,27.656016915620057]}"
1150,1,10,4.71803617477417,31.571252822875977,26,"{""type"":""Point"",""coordinates"":[85.56120254977174,27.814018492611805]}"
1425,2,50,3.246016025543213,4.849085807800293,28,"{""type"":""Point"",""coordinates"":[85.31911737631748,27.62447450413258]}"
1576,3,10,3.9373834133148193,29.926677703857425,28,"{""type"":""Point"",""coordinates"":[85.1445076620104,27.81791399477323]}"
1327,1,40,4.243783473968506,6.326774597167969,30,"{""type"":""Point"",""coordinates"":[85.4353707978482,27.687280898047376]}"
1375,2,10,4.49566125869751,27.44293212890625,27,"{""type"":""Point"",""coordinates"":[85.38065384608738,27.873053554639014]}"
1683,4,10,4.18858814239502,15.358389854431152,25,"{""type"":""Point"",""coordinates"":[85.50032179978332,27.70410236898863]}"
1329,1,50,3.40421199798584,0.9274099469184875,24,"{""type"":""Point"",""coordinates"":[85.32273445976591,27.668008927831956]}"
1346,1,40,3.744175434112549,19.062700271606445,26,"{""type"":""Point"",""coordinates"":[85.3711023510446,27.63416564586825]}"
1143,1,10,4.18858814239502,18.102842330932617,24,"{""type"":""Point"",""coordinates"":[85.54971629262779,27.742991047818748]}"
1309,1,50,3.246016025543213,1.854334115982056,27,"{""type"":""Point"",""coordinates"":[85.33476230553616,27.643551080727924]}"
609,1,40,4.030216693878174,23.303386688232425,27,"{""type"":""Point"",""coordinates"":[85.25817271992165,27.889048923400654]}"
1781,4,10,4.579485893249512,21.156295776367188,25,"{""type"":""Point"",""coordinates"":[85.17540393924868,27.697720630390005]}"
506,1,10,3.583014726638794,20.55984687805176,29,"{""type"":""Point"",""coordinates"":[85.14277760165366,27.871021014086537]}"
1650,4,10,4.547289371490479,30.19795799255371,26,"{""type"":""Point"",""coordinates"":[85.50247445578646,27.78962216964495]}"
1370,2,10,4.195834636688232,5.911344051361084,27,"{""type"":""Point"",""coordinates"":[85.41929389245583,27.734854072570098]}"
1246,1,10,5.316385269165039,20.189144134521484,22,"{""type"":""Point"",""coordinates"":[85.5561635576257,27.875016247354342]}"
1805,4,30,4.547289371490479,41.14994430541992,25,"{""type"":""Point"",""coordinates"":[85.5025498139281,27.773281887584137]}"
1600,3,10,4.695466041564941,20.87140655517578,24,"{""type"":""Point"",""coordinates"":[85.47986780538386,27.85906113151321]}"
1463,2,40,4.736819744110107,5.644445419311523,25,"{""type"":""Point"",""coordinates"":[85.45057461124352,27.752686453153334]}"
1588,3,40,4.1896796226501465,10.071928977966309,24,"{""type"":""Point"",""coordinates"":[85.2397247994748,27.666444016826002]}"
1734,4,30,4.684384346008301,10.39604949951172,26,"{""type"":""Point"",""coordinates"":[85.4411756601832,27.763291004835075]}"
770,1,50,4.612339019775391,21.88666343688965,25,"{""type"":""Point"",""coordinates"":[85.57953949730862,27.772221462600932]}"
